,Unnamed: 0,Name,URL,name_letter
99,99,The Monsoon,https://www.tripadvisor.com/Restaurant_Review-g186338-d1550869-Reviews-The_Monsoon-London_England.html,themonsoon
100,100,Osteria Romana,https://www.tripadvisor.com/Restaurant_Review-g186338-d13149344-Reviews-Osteria_Romana-London_England.html,osteriaromana
101,101,Chez Abir Restaurant,https://www.tripadvisor.com/Restaurant_Review-g186338-d1014977-Reviews-Chez_Abir_Restaurant-London_England.html,chezabirrestaurant
102,102,Alcedo Bistro & Bar,https://www.tripadvisor.com/Restaurant_Review-g186338-d10701523-Reviews-Alcedo_Bistro_Bar-London_England.html,alcedobistro&bar
103,103,Tonis Amalfi,https://www.tripadvisor.com/Restaurant_Review-g186338-d12947166-Reviews-Tonis_Amalfi-London_England.html,tonisamalfi
104,104,Sushi Tetsu,https://www.tripadvisor.com/Restaurant_Review-g186338-d3314573-Reviews-Sushi_Tetsu-London_England.html,sushitetsu
105,105,Barge East Restaurant,https://www.tripadvisor.com/Restaurant_Review-g186338-d14766290-Reviews-Barge_East_Restaurant-London_England.html,bargeeastrestaurant
106,106,Awesome Thai #Barnes,https://www.tripadvisor.com/Restaurant_Review-g186338-d3490463-Reviews-Awesome_Thai_Barnes-London_England.html,awesomethai#barnes
107,107,Lentil,https://www.tripadvisor.com/Restaurant_Review-g186338-d7808892-Reviews-Lentil-London_England.html,lentil
108,108,Nepal Authentic Dining,https://www.tripadvisor.com/Restaurant_Review-g186338-d2013731-Reviews-Nepal_Authentic_Dining-London_England.html,nepalauthenticdining
109,109,Anjanaas,https://www.tripadvisor.com/Restaurant_Review-g186338-d2699789-Reviews-Anjanaas-London_England.html,anjanaas
110,110,taNgia,https://www.tripadvisor.com/Restaurant_Review-g186338-d7391044-Reviews-TaNgia-London_England.html,tangia
111,111,Wassouf Lounge,https://www.tripadvisor.com/Restaurant_Review-g186338-d6619139-Reviews-Wassouf_Lounge-London_England.html,wassouflounge
112,112,"Indian Express, West Kensington",https://www.tripadvisor.com/Restaurant_Review-g186338-d4002133-Reviews-Indian_Express_West_Kensington-London_England.html,"indianexpress,westkensington"
113,113,Fiddieâs Italian Kitchen,https://www.tripadvisor.com/Restaurant_Review-g186338-d8734724-Reviews-Fiddie_s_Italian_Kitchen-London_England.html,fiddieâsitaliankitchen
114,114,Mio Restaurant,https://www.tripadvisor.com/Restaurant_Review-g186338-d11881554-Reviews-Mio_Restaurant-London_England.html,miorestaurant
115,115,Filika Restaurant,https://www.tripadvisor.com/Restaurant_Review-g186338-d13565344-Reviews-Filika_Restaurant-London_England.html,filikarestaurant
116,116,Morso Abbey Road,https://www.tripadvisor.com/Restaurant_Review-g186338-d14190070-Reviews-Morso_Abbey_Road-London_England.html,morsoabbeyroad
117,117,Yucca,https://www.tripadvisor.com/Restaurant_Review-g186338-d12965808-Reviews-Yucca-London_England.html,yucca
118,118,Rock Star Sushi Bar,https://www.tripadvisor.com/Restaurant_Review-g186338-d6575472-Reviews-Rock_Star_Sushi_Bar-London_England.html,rockstarsushibar
119,119,The Five Fields,https://www.tripadvisor.com/Restaurant_Review-g186338-d3853609-Reviews-The_Five_Fields-London_England.html,thefivefields
